# Hecus331-D2O-30C.dat
#
# sample:	005445_005446.chi
# background:	005205_005207.chi
# scfb = 0.87
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.0134034148        1.9729581972        0.0015778838
        0.0172329619        2.0593156872        0.0012113119
        0.0210625090        2.6603116124        0.0031840976
        0.0248920561        2.7756121862        0.0038559866
        0.0287216032        1.5065983753        0.0010322840
        0.0325511503        0.6443359063        0.0008463237
        0.0363806974        0.3345317420        0.0004455589
        0.0402102445        0.2239083313        0.0002528726
        0.0440397915        0.1808370129        0.0001224427
        0.0478693386        0.1867686918        0.0002316100
        0.0516988857        0.1930911031        0.0002988042
        0.0555284328        0.1395116551        0.0001643430
        0.0593579799        0.0833402539        0.0000812967
        0.0631875270        0.0539517374        0.0000715771
        0.0670170741        0.0408180606        0.0000530447
        0.0708466212        0.0384358866        0.0000586190
        0.0746761683        0.0459151766        0.0000787463
        0.0785057154        0.0489402773        0.0000814769
        0.0823352625        0.0428221568        0.0000637454
        0.0861648095        0.0326804150        0.0000471610
        0.0899943566        0.0288012742        0.0000489724
        0.0938239037        0.0276792670        0.0000455222
        0.0976534508        0.0335454695        0.0000546808
        0.1014829980        0.0432341100        0.0000747964
        0.1053125450        0.0480583102        0.0000924942
        0.1091420920        0.0461077604        0.0000848478
        0.1129716390        0.0415699721        0.0000514663
        0.1168011860        0.0368464241        0.0000548891
        0.1206307330        0.0363988439        0.0000522656
        0.1244602800        0.0376152277        0.0000515116
        0.1282898280        0.0418638468        0.0000586038
        0.1321193750        0.0484457378        0.0000811750
        0.1359489220        0.0460252741        0.0000665290
        0.1397784690        0.0397409481        0.0000575045
        0.1436080160        0.0349366343        0.0000491291
        0.1474375630        0.0322189330        0.0000483332
        0.1512671100        0.0307012100        0.0000423060
        0.1550966570        0.0293434019        0.0000449493
        0.1589262040        0.0297468850        0.0000418702
        0.1627557510        0.0328984536        0.0000452007
        0.1665852980        0.0365703306        0.0000478907
        0.1704148460        0.0400626156        0.0000483968
        0.1742443930        0.0476868777        0.0000551527
        0.1780739400        0.0599650576        0.0000639822
        0.1819034870        0.0752360020        0.0000743605
        0.1857330340        0.0959578232        0.0001020434
        0.1895625810        0.1142965568        0.0001215669
        0.1933921280        0.1328013953        0.0001245511
        0.1972216750        0.1506104211        0.0001350079
        0.2010512220        0.1725236429        0.0001542166
        0.2048807690        0.2007819923        0.0001976464
        0.2087103160        0.2455188047        0.0002651177
        0.2125398640        0.2940201009        0.0003508881
        0.2163694110        0.3296159449        0.0004128808
        0.2201989580        0.3539036351        0.0003958369
        0.2240285050        0.3706006608        0.0003979075
        0.2278580520        0.3934042928        0.0004162242
        0.2316875990        0.4188163100        0.0004722508
        0.2355171460        0.4558627098        0.0005576221
        0.2393466930        0.4850670099        0.0006603805
        0.2431762400        0.4944748647        0.0006421368
        0.2470057870        0.4771492737        0.0005624453
        0.2508353340        0.4420532603        0.0004646486
        0.2546648820        0.4108608061        0.0004430638
        0.2584944290        0.3878302639        0.0004194636
        0.2623239760        0.3658627785        0.0004068930
        0.2661535230        0.3424999684        0.0004091556
        0.2699830700        0.3111924145        0.0003589003
        0.2738126170        0.2729391385        0.0002981262
        0.2776421640        0.2333972120        0.0002365257
        0.2814717110        0.2005591134        0.0001987269
        0.2853012580        0.1692139967        0.0001674320
        0.2891308050        0.1456384341        0.0001532664
        0.2929603520        0.1231993632        0.0001361916
        0.2967899000        0.0999895735        0.0001069696
        0.3006194470        0.0807290629        0.0000783546
        0.3044489940        0.0637516379        0.0000683797
        0.3082785410        0.0485255041        0.0000489257
        0.3121080880        0.0378529456        0.0000448801
        0.3159376350        0.0295777635        0.0000371578
        0.3197671820        0.0228749935        0.0000340861
        0.3235967290        0.0199715660        0.0000336357
        0.3274262760        0.0174907678        0.0000333679
        0.3312558230        0.0172713762        0.0000345943
        0.3350853700        0.0169383197        0.0000439089
        0.3389149180        0.0185124001        0.0000446401
        0.3427444650        0.0198209041        0.0000452868
        0.3465740120        0.0217249788        0.0000535026
        0.3504035590        0.0252016297        0.0000529623
        0.3542331060        0.0280417250        0.0000482642
        0.3580626530        0.0287758547        0.0000531006
        0.3618922000        0.0289446241        0.0000481506
        0.3657217470        0.0298772877        0.0000495562
        0.3695512940        0.0293171833        0.0000523307
        0.3733808410        0.0285963094        0.0000593478
        0.3772103880        0.0273929628        0.0000635709
        0.3810399360        0.0254126059        0.0000594094
        0.3848694830        0.0236115858        0.0000536657
        0.3886990300        0.0220707543        0.0000428663
        0.3925285770        0.0189645322        0.0000424823
        0.3963581240        0.0171726509        0.0000362054
        0.4001876710        0.0146948737        0.0000414029
        0.4040172180        0.0134975779        0.0000418954
        0.4078467650        0.0130807387        0.0000388771
        0.4116763120        0.0116561770        0.0000336901
        0.4155058590        0.0095759758        0.0000365640
        0.4193354060        0.0095385052        0.0000392252
        0.4231649540        0.0088466430        0.0000443310
        0.4269945010        0.0086511471        0.0000407002
        0.4308240480        0.0103327875        0.0000378806
        0.4346535950        0.0106440060        0.0000424616
        0.4384831420        0.0098365714        0.0000488777
        0.4423126890        0.0103443678        0.0000471063
        0.4461422360        0.0108715363        0.0000439963
        0.4499717830        0.0113128550        0.0000484831
        0.4538013300        0.0112102830        0.0000500977
        0.4576308770        0.0110462668        0.0000523821
        0.4614604240        0.0115481427        0.0000539829
        0.4652899720        0.0115774922        0.0000478168
        0.4691195190        0.0101344864        0.0000443929
        0.4729490660        0.0101188222        0.0000429988
        0.4767786130        0.0084765602        0.0000527508
        0.4806081600        0.0087938162        0.0000536522
        0.4844377070        0.0081755282        0.0000418731
        0.4882672540        0.0073378603        0.0000416378
        0.4920968010        0.0074034687        0.0000484923
        0.4959263480        0.0084713298        0.0000500982
        0.4997558950        0.0078595771        0.0000444104
        0.5035854420        0.0086473843        0.0000474970
        0.5074149900        0.0078890691        0.0000501337
        0.5112445370        0.0092293092        0.0000472430
        0.5150740840        0.0100497016        0.0000527479
        0.5189036310        0.0094043951        0.0000599793
        0.5227331780        0.0104233137        0.0000611870
        0.5265627250        0.0110394167        0.0000637551
        0.5303922720        0.0131697257        0.0000487333
        0.5342218190        0.0135869014        0.0000542192
        0.5380513660        0.0144697938        0.0000572186
        0.5418809130        0.0149221616        0.0000547051
        0.5457104600        0.0148389044        0.0000523338
        0.5495400080        0.0150808453        0.0000623307
        0.5533695550        0.0145745931        0.0000645101
        0.5571991020        0.0146364498        0.0000540437
        0.5610286490        0.0150333070        0.0000596494
        0.5648581960        0.0152602812        0.0000602645
        0.5686877430        0.0152489772        0.0000612916
        0.5725172900        0.0139632087        0.0000650680
        0.5763468370        0.0127022792        0.0000597634
        0.5801763840        0.0126836640        0.0000566162
        0.5840059310        0.0117861683        0.0000602403
        0.5878354780        0.0107988354        0.0000625200
        0.5916650260        0.0102375697        0.0000538667
        0.5954945730        0.0081819603        0.0000625743
        0.5993241200        0.0079348650        0.0000665176
        0.6031536670        0.0067883148        0.0000682224
        0.6069832140        0.0063397160        0.0000601682
        0.6108127610        0.0072087016        0.0000600972
        0.6146423080        0.0072504863        0.0000699513
        0.6184718550        0.0073350139        0.0000730257
        0.6223014020        0.0081552523        0.0000506697
        0.6261309490        0.0076019306        0.0000546129
        0.6299604960        0.0080660615        0.0000569744
        0.6337900440        0.0094251244        0.0000526254
        0.6376195910        0.0095140879        0.0000521827
        0.6414491380        0.0102621632        0.0000579013
        0.6452786850        0.0121542702        0.0000669150
        0.6491082320        0.0118672219        0.0000648373
        0.6529377790        0.0114168697        0.0000694439
        0.6567673260        0.0125078784        0.0000620626
        0.6605968730        0.0129069211        0.0000600320
        0.6644264200        0.0143259849        0.0000596007
        0.6682559670        0.0148299712        0.0000707972
        0.6720855140        0.0151514144        0.0000718334
        0.6759150620        0.0166759472        0.0000750174
        0.6797446090        0.0159874734        0.0000742457
        0.6835741560        0.0157995059        0.0000592045
        0.6874037030        0.0158393821        0.0000929373
        0.6912332500        0.0169251027        0.0001056180
        0.6950627970        0.0165914168        0.0001089930
        0.6988923440        0.0177905755        0.0000643841
        0.7027218910        0.0178221377        0.0000569482
        0.7065514380        0.0186176754        0.0000665434
        0.7103809850        0.0187138895        0.0000624115
        0.7142105320        0.0183538738        0.0000787374
        0.7180400800        0.0183482965        0.0000672227
        0.7218696270        0.0177189875        0.0000721122
        0.7256991740        0.0179703882        0.0000717748
        0.7295287210        0.0183553605        0.0000759657
        0.7333582680        0.0177066321        0.0000681268
        0.7371878150        0.0174100822        0.0000639531
        0.7410173620        0.0160262351        0.0000645982
        0.7448469090        0.0156704818        0.0000784980
        0.7486764560        0.0157923276        0.0000691504
        0.7525060030        0.0146222220        0.0000631015
        0.7563355500        0.0144114959        0.0000739292
        0.7601650980        0.0143180820        0.0000666395
        0.7639946450        0.0132413317        0.0000739907
        0.7678241920        0.0125040190        0.0000633889
        0.7716537390        0.0126032139        0.0000604109
        0.7754832860        0.0112171561        0.0000671836
        0.7793128330        0.0099366546        0.0000744639
        0.7831423800        0.0110338711        0.0000714788
        0.7869719270        0.0106300008        0.0000731269
        0.7908014740        0.0104642419        0.0000808677
        0.7946310210        0.0099714612        0.0000820090
        0.7984605680        0.0083185970        0.0000899479
        0.8022901160        0.0091352211        0.0000919226
        0.8061196630        0.0075659950        0.0001109713
        0.8099492100        0.0069774218        0.0000875723
        0.8137787570        0.0059159529        0.0001341164
        0.8176083040        0.0066367076        0.0001453731
        0.8214378510        0.0070872553        0.0001633604
        0.8252673980        0.0070947402        0.0001805023
        0.8290969450        0.0085972136        0.0001774345
        0.8329264920        0.0064968607        0.0002136481
        0.8367560390        0.0066316041        0.0002515127
        0.8405855860        0.0060819738        0.0002059387
        0.8444151340        0.0054451365        0.0002598577
        0.8482446810        0.0063188745        0.0003051417
        0.8520742280        0.0064123631        0.0002566272
        0.8559037750        0.0077571535        0.0005752057
        0.8597333220        0.0079028306        0.0005347154
        0.8635628690        0.0104531067        0.0007083339
        0.8673924160        0.0070707171        0.0010294002
        0.8712219630        0.0085354818        0.0009820195
        0.8750515100        0.0128991725        0.0015682179
        0.8788810570        0.0143208545        0.0019615562
        0.8827106040        0.0065469721        0.0009347281
        0.8865401520        0.0064673014        0.0023289095
        0.8903696990        0.0045805385        0.0014686737
        0.8941992460        0.0089780777        0.0026013987
        0.8980287930        0.0084817161        0.0025832080
