# Hecus337_03-D2O-30C.dat
#
# sample:	005314_005315.chi
# background:	005205_005207.chi
# scfb = 0.9612
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.0134034148        0.7672784845        0.0013492149
        0.0172329619        0.6025467365        0.0009725410
        0.0210625090        0.4035779323        0.0005921306
        0.0248920561        0.2655598322        0.0004917404
        0.0287216032        0.1847332215        0.0003680095
        0.0325511503        0.1324574383        0.0002533113
        0.0363806974        0.0936495059        0.0002092087
        0.0402102445        0.0671475167        0.0001523731
        0.0440397915        0.0558063303        0.0001281830
        0.0478693386        0.0425018406        0.0001026232
        0.0516988857        0.0358336529        0.0000807258
        0.0555284328        0.0277581708        0.0000768734
        0.0593579799        0.0226927220        0.0000657093
        0.0631875270        0.0230152973        0.0000581407
        0.0670170741        0.0171318215        0.0000502984
        0.0708466212        0.0156960512        0.0000418127
        0.0746761683        0.0169821440        0.0000442655
        0.0785057154        0.0161724400        0.0000484984
        0.0823352625        0.0155366692        0.0000421636
        0.0861648095        0.0158059803        0.0000362788
        0.0899943566        0.0156142886        0.0000436812
        0.0938239037        0.0147761468        0.0000488600
        0.0976534508        0.0168196041        0.0000445694
        0.1014829980        0.0171128529        0.0000460258
        0.1053125450        0.0163986677        0.0000379144
        0.1091420920        0.0166001302        0.0000396823
        0.1129716390        0.0166664644        0.0000438436
        0.1168011860        0.0160201383        0.0000411241
        0.1206307330        0.0152547971        0.0000382203
        0.1244602800        0.0170118856        0.0000398337
        0.1282898280        0.0169359682        0.0000400445
        0.1321193750        0.0177158213        0.0000426392
        0.1359489220        0.0173914636        0.0000421252
        0.1397784690        0.0171601221        0.0000447694
        0.1436080160        0.0183660261        0.0000427517
        0.1474375630        0.0176482283        0.0000406489
        0.1512671100        0.0196091859        0.0000394389
        0.1550966570        0.0177706767        0.0000394358
        0.1589262040        0.0181719298        0.0000425196
        0.1627557510        0.0203022675        0.0000444070
        0.1665852980        0.0194530116        0.0000416737
        0.1704148460        0.0204863460        0.0000416812
        0.1742443930        0.0214756942        0.0000384961
        0.1780739400        0.0226501691        0.0000367605
        0.1819034870        0.0247828236        0.0000409297
        0.1857330340        0.0280466541        0.0000422020
        0.1895625810        0.0313107073        0.0000442814
        0.1933921280        0.0352468798        0.0000438462
        0.1972216750        0.0397875847        0.0000493397
        0.2010512220        0.0446207094        0.0000427553
        0.2048807690        0.0504223348        0.0000488330
        0.2087103160        0.0575327028        0.0000509692
        0.2125398640        0.0651636464        0.0000519784
        0.2163694110        0.0738868201        0.0000515926
        0.2201989580        0.0803945565        0.0000555504
        0.2240285050        0.0882552968        0.0000632523
        0.2278580520        0.0973089789        0.0000542239
        0.2316875990        0.1012086922        0.0000618692
        0.2355171460        0.1048637376        0.0000629695
        0.2393466930        0.1063310387        0.0000684772
        0.2431762400        0.1064709848        0.0000610308
        0.2470057870        0.1038546030        0.0000688506
        0.2508353340        0.0977467599        0.0000677622
        0.2546648820        0.0923177696        0.0000591088
        0.2584944290        0.0836956887        0.0000562573
        0.2623239760        0.0766885832        0.0000561891
        0.2661535230        0.0668161286        0.0000528627
        0.2699830700        0.0580114917        0.0000510440
        0.2738126170        0.0499996618        0.0000480479
        0.2776421640        0.0423360768        0.0000465828
        0.2814717110        0.0356743086        0.0000383053
        0.2853012580        0.0285735979        0.0000402781
        0.2891308050        0.0230756009        0.0000372145
        0.2929603520        0.0188700547        0.0000359387
        0.2967899000        0.0166828664        0.0000368984
        0.3006194470        0.0143341290        0.0000364543
        0.3044489940        0.0118986798        0.0000313503
        0.3082785410        0.0107713635        0.0000294608
        0.3121080880        0.0098289539        0.0000326695
        0.3159376350        0.0086206774        0.0000312882
        0.3197671820        0.0070324935        0.0000300238
        0.3235967290        0.0071914059        0.0000291954
        0.3274262760        0.0075991269        0.0000287171
        0.3312558230        0.0070422030        0.0000285492
        0.3350853700        0.0069255030        0.0000387732
        0.3389149180        0.0059899693        0.0000434464
        0.3427444650        0.0062715977        0.0000387165
        0.3465740120        0.0060898378        0.0000395727
        0.3504035590        0.0064744304        0.0000367792
        0.3542331060        0.0063177148        0.0000363358
        0.3580626530        0.0062439505        0.0000361682
        0.3618922000        0.0060033669        0.0000348446
        0.3657217470        0.0058314118        0.0000321349
        0.3695512940        0.0048887422        0.0000316238
        0.3733808410        0.0043230740        0.0000335561
        0.3772103880        0.0043091865        0.0000358004
        0.3810399360        0.0044660310        0.0000363185
        0.3848694830        0.0040427143        0.0000381534
        0.3886990300        0.0047652708        0.0000342246
        0.3925285770        0.0053876922        0.0000360203
        0.3963581240        0.0036344993        0.0000330460
        0.4001876710        0.0038825032        0.0000326948
        0.4040172180        0.0041196548        0.0000345857
        0.4078467650        0.0041389221        0.0000356017
        0.4116763120        0.0040263682        0.0000343117
        0.4155058590        0.0036121877        0.0000363125
        0.4193354060        0.0028937147        0.0000377438
        0.4231649540        0.0022955237        0.0000353427
        0.4269945010        0.0032151075        0.0000348836
        0.4308240480        0.0036683266        0.0000377014
        0.4346535950        0.0033187610        0.0000380618
        0.4384831420        0.0026846207        0.0000385902
        0.4423126890        0.0031932928        0.0000386771
        0.4461422360        0.0026487645        0.0000379945
        0.4499717830        0.0026193612        0.0000389206
        0.4538013300        0.0025340281        0.0000415563
        0.4576308770        0.0028551008        0.0000442962
        0.4614604240        0.0026201549        0.0000438281
        0.4652899720        0.0030387183        0.0000384369
        0.4691195190        0.0022329066        0.0000413405
        0.4729490660        0.0028667086        0.0000483691
        0.4767786130        0.0026320488        0.0000456754
        0.4806081600        0.0026419574        0.0000451677
        0.4844377070        0.0027439606        0.0000430565
        0.4882672540        0.0028022288        0.0000400695
        0.4920968010        0.0028901269        0.0000471861
        0.4959263480        0.0035618965        0.0000492870
        0.4997558950        0.0028821511        0.0000522814
        0.5035854420        0.0026818859        0.0000535659
        0.5074149900        0.0035057974        0.0000521266
        0.5112445370        0.0032769490        0.0000458510
        0.5150740840        0.0032093884        0.0000513706
        0.5189036310        0.0031577381        0.0000461011
        0.5227331780        0.0031074406        0.0000443779
        0.5265627250        0.0026730127        0.0000522487
        0.5303922720        0.0028965867        0.0000455034
        0.5342218190        0.0035835393        0.0000511751
        0.5380513660        0.0034400133        0.0000524085
        0.5418809130        0.0035991117        0.0000559239
        0.5457104600        0.0037108133        0.0000562162
        0.5495400080        0.0028747390        0.0000584868
        0.5533695550        0.0023089404        0.0000550204
        0.5571991020        0.0016299377        0.0000536179
        0.5610286490        0.0029765981        0.0000643906
        0.5648581960        0.0034007794        0.0000570809
        0.5686877430        0.0031882923        0.0000534688
        0.5725172900        0.0030568220        0.0000633296
        0.5763468370        0.0035716516        0.0000544241
        0.5801763840        0.0026622755        0.0000462711
        0.5840059310        0.0025236332        0.0000606998
        0.5878354780        0.0026993043        0.0000566129
        0.5916650260        0.0032519962        0.0000571472
        0.5954945730        0.0033965220        0.0000480414
        0.5993241200        0.0036045596        0.0000483253
        0.6031536670        0.0023783492        0.0000532423
        0.6069832140        0.0018808413        0.0000501468
        0.6108127610        0.0031693125        0.0000499646
        0.6146423080        0.0032775925        0.0000465444
        0.6184718550        0.0026980994        0.0000577658
        0.6223014020        0.0025399314        0.0000532117
        0.6261309490        0.0018253925        0.0000503006
        0.6299604960        0.0025945214        0.0000524372
        0.6337900440        0.0027977968        0.0000555478
        0.6376195910        0.0026027676        0.0000525231
        0.6414491380        0.0030085462        0.0000591298
        0.6452786850        0.0030529403        0.0000534217
        0.6491082320        0.0028683740        0.0000669126
        0.6529377790        0.0028993142        0.0000627069
        0.6567673260        0.0044956189        0.0000598234
        0.6605968730        0.0026747917        0.0000575752
        0.6644264200        0.0027178333        0.0000571913
        0.6682559670        0.0032160454        0.0000833602
        0.6720855140        0.0031811979        0.0000843782
        0.6759150620        0.0043205181        0.0000698827
        0.6797446090        0.0044588968        0.0000633939
        0.6835741560        0.0034152264        0.0000546744
        0.6874037030        0.0020644283        0.0000712288
        0.6912332500        0.0027052489        0.0000899831
        0.6950627970        0.0052363733        0.0000774443
        0.6988923440        0.0043738508        0.0000615114
        0.7027218910        0.0049436436        0.0000597282
        0.7065514380        0.0048674723        0.0000668537
        0.7103809850        0.0052299735        0.0000629123
        0.7142105320        0.0045758234        0.0000673249
        0.7180400800        0.0062932684        0.0000596675
        0.7218696270        0.0063090923        0.0000762539
        0.7256991740        0.0062819970        0.0000703385
        0.7295287210        0.0064653222        0.0000673262
