# JCNS337_03-30C.dat
#
# low-Q:
# sample:	QI-53358-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 6 points at the end
#
# middle-Q:
# sample:	QI-53323-KWS-HF.RAD
# scf = 0.98
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 12 points at the beginning and 8 points at the end
#
# high-Q:
# sample:	QI-53306-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 8 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0041090741     5422.6574085000        0.0015251769        8.7622365360
        0.0046960828     4916.5061675000        0.0015373512        4.1798943315
        0.0052830908     4399.7089035000        0.0015510331        3.0934732485
        0.0058700979     3957.3933590000        0.0015661833        2.5730216005
        0.0064571041     3557.7937855000        0.0015827594        2.2846713970
        0.0070441093     3219.8045240000        0.0016007172        2.0733409805
        0.0076311133     2935.9611300000        0.0016200108        1.8955163325
        0.0082181161     2666.6568970000        0.0016405930        1.7247826745
        0.0088051177     2430.3572220000        0.0016624159        1.5762191095
        0.0093921178     2254.7707170000        0.0016854313        1.4649276070
        0.0099791164     2112.8836095000        0.0017095911        1.3956633350
        0.0105661134     1930.7703670000        0.0017348474        1.2651944200
        0.0111531088     1782.0800435000        0.0017611530        1.1754186125
        0.0117401023     1654.3003980000        0.0017884616        1.0981977485
        0.0123270940     1533.4272240000        0.0018167280        1.0312132770
        0.0129140838     1420.7503840000        0.0018459081        0.9681554120
        0.0135010714     1318.7977520000        0.0018759593        0.9097283277
        0.0140880570     1219.2856035000        0.0019068405        0.8544361038
        0.0146750402     1129.2370035000        0.0019385118        0.8044988056
        0.0152620212     1041.5972045000        0.0019709352        0.7595167835
        0.0158489997      959.9690435000        0.0020040742        0.7307848533
        0.0164359757      915.2686213000        0.0020378938        0.8083431136
        0.0170229490      846.1416110000        0.0020723607        0.7663475665
        0.0176099197      763.5877434000        0.0021074432        0.6619771589
        0.0181968876      703.0798418000        0.0021431109        0.5953653714
        0.0187838525      659.3962910500        0.0021793351        0.5717065515
        0.0193708145      610.2929285500        0.0022160886        0.5510498589
        0.0199577733      561.2896314500        0.0022533453        0.5089127504
        0.0205447291      515.4126912500        0.0022910807        0.4798779527
        0.0211316815      472.5818044500        0.0023292715        0.4524917498
        0.0217186305      436.8979700000        0.0023678957        0.4284812797
        0.0223055761      403.8788713000        0.0024069323        0.4102652596
        0.0228925182      376.3164434000        0.0024463617        0.3950833134
        0.0234794566      349.1031633000        0.0024861650        0.3770840121
        0.0240663913      326.7937955500        0.0025263247        0.3565148353
        0.0246533221      303.9647464500        0.0025668239        0.3408299496
        0.0252402489      282.9314947000        0.0026076467        0.3258285148
        0.0258271719      265.6257513000        0.0026487783        0.3060577371
        0.0264140906      249.6229063000        0.0026902044        0.2919771867
        0.0269675974      259.4622363200        0.0026455997        0.2572071701
        0.0270010052      234.4399027500        0.0027319116        0.2785442351
        0.0275879154      219.7892317000        0.0027738872        0.2688033018
        0.0281748213      209.1208875000        0.0028161192        0.2705171531
        0.0284656152      218.4536786600        0.0027564850        0.2283514160
        0.0287617226      198.2621452500        0.0028585961        0.2778673050
        0.0293486195      187.4509590500        0.0029013072        0.2673845300
        0.0299355117      178.8595267000        0.0029442423        0.2560160691
        0.0299636033      186.4179020200        0.0028687252        0.2044544904
        0.0305223990      169.8202833500        0.0029873917        0.2492327527
        0.0311092814      161.3837732000        0.0030307462        0.2403673252
        0.0314615604      159.5291255600        0.0029821667        0.1833680450
        0.0316961589      153.6528584500        0.0030742970        0.2318717184
        0.0322830315      147.3622890500        0.0031180361        0.2233881224
        0.0328698988      139.7967379500        0.0031619554        0.2136440807
        0.0329594849      137.1666545200        0.0030966772        0.1667659806
        0.0334567610      132.9788682000        0.0032060476        0.2106745384
        0.0340436178      125.2300887000        0.0032503056        0.2246169968
        0.0344573751      118.3940077600        0.0032121419        0.1523690535
        0.0346304692      119.3852830500        0.0032947228        0.2378210725
        0.0352173150      112.4737632500        0.0033392926        0.2422806641
        0.0358041552      105.6576538500        0.0033840091        0.2470856929
        0.0359552295      102.2782037200        0.0033284609        0.1370313214
        0.0363909897      100.3610400000        0.0034288665        0.2549371598
        0.0369778185       95.7995342500        0.0034738593        0.2609647074
        0.0374530467       87.8731541240        0.0034455474        0.1246665889
        0.0375646414       91.5085859350        0.0035189823        0.2643053397
        0.0381514583       86.8578257850        0.0035642305        0.2666722276
        0.0387382691       82.4462245250        0.0036095992        0.2715705065
        0.0389508251       75.7283402680        0.0035633251        0.1132515293
        0.0393250737       78.4763211100        0.0036550839        0.2756322647
        0.0399118720       74.7423262550        0.0037006802        0.2805801507
        0.0404485630       65.4492918660        0.0036817274        0.1045446997
        0.0404986641       70.6019908450        0.0037463841        0.2945167048
        0.0410854497       67.9087773250        0.0037921916        0.3068007283
        0.0416722287       64.3730554500        0.0038380990        0.3245479889
        0.0419462591       59.9750831120        0.0038006953        0.1154070579
        0.0422590011       61.1075545200        0.0038841027        0.3400420377
        0.0428457667       59.0964218100        0.0039301994        0.3635570466
        0.0434325256       56.7128274450        0.0039763857        0.3921507385
        0.0434439116       52.7458022560        0.0039201770        0.1061442988
        0.0440192776       53.6371160900        0.0040226585        0.3940195462
        0.0449415190       45.2074096040        0.0040401263        0.0903310858
        0.0464390798       39.5767251320        0.0041605022        0.0787343113
        0.0479365924       35.4601893660        0.0042812685        0.0735757333
        0.0494340553       31.6807108800        0.0044023924        0.0694718705
