# Hecus319_03-D2O-30C.dat
#
# sample:	005355_005356.chi
# background:	005205_005207.chi
# scfb = 0.9612
# y' = y(sample) - scfb * y(background)
# dy' = sqrt( dy(sample)^2 + ( scfb * dy(background) )^2 )
# Drop 0 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           dI [1/cm]
        0.0134034148        1.1562430045        0.0012341077
        0.0172329619        0.9467212605        0.0011471702
        0.0210625090        0.6194499093        0.0008071907
        0.0248920561        0.3988765512        0.0005052531
        0.0287216032        0.2758503375        0.0003990927
        0.0325511503        0.1884792633        0.0003149927
        0.0363806974        0.1247332759        0.0002305558
        0.0402102445        0.0908920565        0.0001847957
        0.0440397915        0.0671437816        0.0001587573
        0.0478693386        0.0502532232        0.0001186489
        0.0516988857        0.0379924969        0.0000962147
        0.0555284328        0.0320004615        0.0000718536
        0.0593579799        0.0257311880        0.0000710217
        0.0631875270        0.0196090654        0.0000639464
        0.0670170741        0.0192471868        0.0000686170
        0.0708466212        0.0154809447        0.0000495801
        0.0746761683        0.0119995340        0.0000455194
        0.0785057154        0.0125121886        0.0000440120
        0.0823352625        0.0114692414        0.0000435398
        0.0861648095        0.0118752162        0.0000394621
        0.0899943566        0.0115506756        0.0000416011
        0.0938239037        0.0115032688        0.0000423626
        0.0976534508        0.0129449489        0.0000437763
        0.1014829980        0.0121333276        0.0000422168
        0.1053125450        0.0108407632        0.0000360842
        0.1091420920        0.0096910865        0.0000364096
        0.1129716390        0.0126153200        0.0000401961
        0.1168011860        0.0116075396        0.0000378016
        0.1206307330        0.0110616653        0.0000391552
        0.1244602800        0.0111170359        0.0000372961
        0.1282898280        0.0113863533        0.0000368065
        0.1321193750        0.0122497313        0.0000366244
        0.1359489220        0.0112211234        0.0000400190
        0.1397784690        0.0104852380        0.0000376464
        0.1436080160        0.0121268824        0.0000391062
        0.1474375630        0.0114903076        0.0000348554
        0.1512671100        0.0122350829        0.0000380841
        0.1550966570        0.0114092068        0.0000343656
        0.1589262040        0.0121559274        0.0000381057
        0.1627557510        0.0134624074        0.0000361729
        0.1665852980        0.0138651045        0.0000358136
        0.1704148460        0.0141204268        0.0000375073
        0.1742443930        0.0168155869        0.0000406497
        0.1780739400        0.0171022155        0.0000346916
        0.1819034870        0.0177780316        0.0000350493
        0.1857330340        0.0208383082        0.0000403557
        0.1895625810        0.0243375972        0.0000391077
        0.1933921280        0.0289271759        0.0000374215
        0.1972216750        0.0329239532        0.0000429163
        0.2010512220        0.0366248052        0.0000424674
        0.2048807690        0.0416939198        0.0000438890
        0.2087103160        0.0493862724        0.0000463500
        0.2125398640        0.0549068120        0.0000478810
        0.2163694110        0.0635378522        0.0000566439
        0.2201989580        0.0712543420        0.0000572643
        0.2240285050        0.0799319914        0.0000588835
        0.2278580520        0.0894754919        0.0000553200
        0.2316875990        0.0977725262        0.0000615426
        0.2355171460        0.1045340936        0.0000576467
        0.2393466930        0.1090123647        0.0000632766
        0.2431762400        0.1110536948        0.0000564303
        0.2470057870        0.1109661690        0.0000594748
        0.2508353340        0.1105914109        0.0000669120
        0.2546648820        0.1042816936        0.0000622333
        0.2584944290        0.0949570857        0.0000549207
        0.2623239760        0.0871783713        0.0000507844
        0.2661535230        0.0777668102        0.0000552785
        0.2699830700        0.0659543585        0.0000506433
        0.2738126170        0.0575602165        0.0000515951
        0.2776421640        0.0498653808        0.0000433124
        0.2814717110        0.0407502916        0.0000447479
        0.2853012580        0.0337473530        0.0000507486
        0.2891308050        0.0276764444        0.0000423638
        0.2929603520        0.0227029201        0.0000447964
        0.2967899000        0.0176716583        0.0000329610
        0.3006194470        0.0142081386        0.0000351364
        0.3044489940        0.0116757822        0.0000327888
        0.3082785410        0.0099479276        0.0000312117
        0.3121080880        0.0093415029        0.0000300081
        0.3159376350        0.0083216771        0.0000304402
        0.3197671820        0.0071582876        0.0000301177
        0.3235967290        0.0068189039        0.0000303422
        0.3274262760        0.0063644632        0.0000285341
        0.3312558230        0.0058438606        0.0000284157
        0.3350853700        0.0061993595        0.0000351491
        0.3389149180        0.0061574289        0.0000338940
        0.3427444650        0.0067837345        0.0000328110
        0.3465740120        0.0065999072        0.0000351743
        0.3504035590        0.0067908349        0.0000316345
        0.3542331060        0.0068142750        0.0000318236
        0.3580626530        0.0055657977        0.0000350658
        0.3618922000        0.0055581357        0.0000368477
        0.3657217470        0.0051540030        0.0000356666
        0.3695512940        0.0048608883        0.0000345072
        0.3733808410        0.0049517167        0.0000336089
        0.3772103880        0.0048986533        0.0000329160
        0.3810399360        0.0050318201        0.0000357237
        0.3848694830        0.0050480885        0.0000399704
        0.3886990300        0.0047448569        0.0000337731
        0.3925285770        0.0039980149        0.0000329443
        0.3963581240        0.0040707937        0.0000328541
        0.4001876710        0.0037380788        0.0000353265
        0.4040172180        0.0046208204        0.0000357486
        0.4078467650        0.0042274310        0.0000333268
        0.4116763120        0.0036255822        0.0000366688
        0.4155058590        0.0037292032        0.0000378736
        0.4193354060        0.0035358632        0.0000404401
        0.4231649540        0.0030788584        0.0000361743
        0.4269945010        0.0034277250        0.0000331837
        0.4308240480        0.0039346326        0.0000378805
        0.4346535950        0.0036481950        0.0000392128
