# JCNS331-30C.dat
#
# low-Q:
# sample:	QI-53352-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 4 points at the end
#
# middle-Q:
# sample:	QI-53317-KWS-HF.RAD
# scf = 0.98
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 4 points at the beginning and 6 points at the end
#
# high-Q:
# sample:	QI-53300-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 8 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0041090741    12041.9662050000        0.0015251769       19.3311530900
        0.0046960828    10078.3839400000        0.0015373512        8.7988012190
        0.0052830908     8334.0819955000        0.0015510331        6.2431927575
        0.0058700979     7003.5851550000        0.0015661833        5.0262263035
        0.0064571041     5831.2651765000        0.0015827594        4.2943089400
        0.0070441093     4888.1382175000        0.0016007172        3.7503154940
        0.0076311133     4113.4090945000        0.0016200108        3.2915834080
        0.0082181161     3471.4718360000        0.0016405930        2.8856312320
        0.0088051177     2970.4638285000        0.0016624159        2.5538377755
        0.0093921178     2633.6996585000        0.0016854313        2.3212437370
        0.0099791164     2372.8512045000        0.0017095911        2.1747779905
        0.0105661134     2082.2029985000        0.0017348474        1.9280414065
        0.0111531088     1893.6314755000        0.0017611530        1.7758792130
        0.0117401023     1756.5636040000        0.0017884616        1.6597371150
        0.0123270940     1636.9061260000        0.0018167280        1.5614823865
        0.0129140838     1537.7262685000        0.0018459081        1.4768944150
        0.0135010714     1455.4911620000        0.0018759593        1.4013802450
        0.0140880570     1387.8455665000        0.0019068405        1.3372080300
        0.0146750402     1325.6948280000        0.0019385118        1.2770118785
        0.0149825791     1390.2135940000        0.0018364146        0.8951625672
        0.0152620212     1274.3267415000        0.0019709352        1.2324645735
        0.0158489997     1235.4365155000        0.0020040742        1.2240401540
        0.0164359757     1262.5975285000        0.0020378938        1.4163505635
        0.0164807772     1285.1462750000        0.0019267727        0.8092323236
        0.0170229490     1240.9588180000        0.0020723607        1.3671179250
        0.0176099197     1180.1604330000        0.0021074432        1.2092620300
        0.0179789580     1222.5387202000        0.0020211052        0.7474334237
        0.0181968876     1156.8451435000        0.0021431109        1.1214607975
        0.0187838525     1173.9862690000        0.0021793351        1.1218837660
        0.0193708145     1188.5215730000        0.0022160886        1.1319915190
        0.0194771203     1209.8662226000        0.0021188808        0.7091998654
        0.0199577733     1197.0359195000        0.0022533453        1.0919631550
        0.0205447291     1218.4530710000        0.0022910807        1.0825510490
        0.0209752625     1231.5481738000        0.0022196444        0.6812649291
        0.0211316815     1254.4443055000        0.0023292715        1.0827469390
        0.0217186305     1306.4365895000        0.0023678957        1.0872213725
        0.0223055761     1379.5566455000        0.0024069323        1.1113062855
        0.0224733827     1308.7878440000        0.0023230067        0.6758707269
        0.0228925182     1469.0873055000        0.0024463617        1.1467767395
