# JCNS319_03-30C.dat
#
# low-Q:
# sample:	QI-53354-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 15 points at the end
#
# middle-Q:
# sample:	QI-53267-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 2 points at the beginning and 7 points at the end
#
# high-Q:
# sample:	QI-53302-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 6 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.3709139610        0.0758427093        0.0319778387        0.0007297843
        0.3773939832        0.0744959401        0.0325191345        0.0007496575
        0.3838665839        0.0763866534        0.0330600935        0.0007994970
        0.3903316503        0.0724152781        0.0336006920        0.0008588325
        0.3967890693        0.0745355818        0.0341409068        0.0009165421
        0.4032387294        0.0727545944        0.0346807156        0.0009600354
        0.4096805210        0.0737932689        0.0352200975        0.0010218462
        0.4161143309        0.0732205562        0.0357590319        0.0010715710
        0.4225400526        0.0715395250        0.0362974991        0.0011112332
        0.4289575762        0.0703832063        0.0368354800        0.0011465078
        0.4353667935        0.0734141957        0.0373729565        0.0012126285
        0.4417675994        0.0760093618        0.0379099104        0.0012679393
        0.4481598858        0.0760054976        0.0384463249        0.0013234585
        0.4545435508        0.0753947913        0.0389821834        0.0014197546
        0.4609184877        0.0738715424        0.0395174695        0.0014878070
        0.4672845947        0.0759071742        0.0400521678        0.0016650473
        0.4736417684        0.0745531487        0.0405862628        0.0017497982
        0.4799899084        0.0734262940        0.0411197400        0.0019098008
        0.4863289145        0.0683640576        0.0416525848        0.0020540028
        0.4926586864        0.0732787046        0.0421847835        0.0022162453
        0.4989791255        0.0788776526        0.0427163224        0.0023886517
        0.5052901363        0.0642724642        0.0432471880        0.0023835901
        0.5115916184        0.0676995849        0.0437773676        0.0027373411
        0.5178834796        0.0658053330        0.0443068486        0.0035269315
        0.5241656228        0.0553657951        0.0448356184        0.0064510173
        0.5304379558        0.0629795712        0.0453636653        0.0226696778
        0.5367003861        0.0724718186        0.0458909773        0.0544883466
