# JCNS319_03-30C.dat
#
# low-Q:
# sample:	QI-53354-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 15 points at the end
#
# middle-Q:
# sample:	QI-53267-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 2 points at the beginning and 7 points at the end
#
# high-Q:
# sample:	QI-53302-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 6 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0041090741     5410.4475335000        0.0015251769        8.6866547355
        0.0046960828     4984.2164485000        0.0015373512        4.1868261205
        0.0052830908     4516.9036300000        0.0015510331        3.1153759925
        0.0058700979     4119.7901305000        0.0015661833        2.6112639360
        0.0064571041     3749.1048805000        0.0015827594        2.3332593940
        0.0070441093     3421.5952495000        0.0016007172        2.1248907925
        0.0076311133     3143.5228205000        0.0016200108        1.9493883340
        0.0082181161     2872.2474610000        0.0016405930        1.7794524100
        0.0088051177     2618.4047535000        0.0016624159        1.6257786145
        0.0093921178     2442.4844280000        0.0016854313        1.5157221595
        0.0099791164     2291.9292735000        0.0017095911        1.4446274750
        0.0105661134     2093.2578540000        0.0017348474        1.3094586915
        0.0111531088     1926.7258655000        0.0017611530        1.2143772860
        0.0117401023     1782.0584880000        0.0017884616        1.1326133320
        0.0119861379     1589.7215450000        0.0016701770        1.3345012900
        0.0123270940     1643.2133090000        0.0018167280        1.0606403440
        0.0129140838     1511.6663245000        0.0018459081        0.9923003935
        0.0134843655     1333.5871905000        0.0017506468        0.9390963589
        0.0135010714     1394.8037560000        0.0018759593        0.9298503300
        0.0140880570     1279.6253475000        0.0019068405        0.8698673889
        0.0146750402     1173.7827790000        0.0019385118        0.8146739963
        0.0149825791     1107.0406715000        0.0018364146        0.7372956384
        0.0152620212     1068.9373780000        0.0019709352        0.7641586915
        0.0158489997      976.4699545000        0.0020040742        0.7334588800
        0.0164359757      930.2721613000        0.0020378938        0.8135329247
        0.0164807772      904.4445683000        0.0019267727        0.6252543883
        0.0170229490      855.7940204500        0.0020723607        0.7665512997
        0.0176099197      767.4678208000        0.0021074432        0.6598218217
        0.0179789580      736.5929661500        0.0020211052        0.5357382757
        0.0181968876      704.5147427000        0.0021431109        0.5931778691
        0.0187838525      655.3006273000        0.0021793351        0.5672241494
        0.0193708145      606.8632262000        0.0022160886        0.5469722394
        0.0194771203      597.8850555000        0.0021188808        0.4602665194
        0.0199577733      557.9932625500        0.0022533453        0.5041096768
        0.0205447291      512.4386659000        0.0022910807        0.4753216719
        0.0209752625      486.4325964000        0.0022196444        0.3966103016
        0.0211316815      470.7900835500        0.0023292715        0.4493379037
        0.0217186305      434.3543877500        0.0023678957        0.4245962414
        0.0223055761      403.1640656500        0.0024069323        0.4076116256
        0.0224733827      396.7011501000        0.0023230067        0.3444982141
        0.0228925182      374.8645802500        0.0024463617        0.3918401768
        0.0234794566      347.3857447500        0.0024861650        0.3742569679
        0.0239714797      334.5858950500        0.0024286355        0.3084187920
        0.0240663913      325.6218280500        0.0025263247        0.3535023302
        0.0246533221      304.6249233000        0.0025668239        0.3388149094
        0.0252402489      284.6150752000        0.0026076467        0.3246092335
        0.0254695519      286.8401310000        0.0025362473        0.2784336922
        0.0258271719      266.9897147500        0.0026487783        0.3052223441
        0.0264140906      250.3489086500        0.0026902044        0.2906575749
        0.0269675974      241.1544172500        0.0026455997        0.2415312319
        0.0270010052      235.5687934500        0.0027319116        0.2775827297
        0.0275879154      220.6826041000        0.0027738872        0.2678507872
        0.0281748213      210.0466178500        0.0028161192        0.2694941247
        0.0284656152      204.6680408500        0.0027564850        0.2152077845
        0.0287617226      200.2112374500        0.0028585961        0.2770624337
        0.0293486195      189.4816144500        0.0029013072        0.2673373901
        0.0299355117      179.0417965500        0.0029442423        0.2544877414
        0.0299636033      175.1941056000        0.0028687252        0.1931074253
        0.0305223990      170.4504611000        0.0029873917        0.2483676428
        0.0311092814      161.7735496500        0.0030307462        0.2393881602
        0.0314615604      150.0928379500        0.0029821667        0.1731881616
        0.0316961589      153.4403444000        0.0030742970        0.2301653474
        0.0322830315      146.5684244000        0.0031180361        0.2213863546
        0.0328698988      139.9512507000        0.0031619554        0.2126994615
        0.0329594849      129.4850057000        0.0030966772        0.1579041199
        0.0334567610      132.7327222500        0.0032060476        0.2096877003
        0.0340436178      124.4974468000        0.0032503056        0.2223850678
        0.0344573751      111.6579488500        0.0032121419        0.1440970279
        0.0346304692      117.9350111500        0.0032947228        0.2351981092
        0.0352173150      111.1372291500        0.0033392926        0.2386520527
        0.0358041552      105.8825141000        0.0033840091        0.2456967017
        0.0359552295       96.5235406500        0.0033284609        0.1296110527
        0.0363909897      100.4778919000        0.0034288665        0.2535484878
        0.0369778185       95.3361907500        0.0034738593        0.2599519979
        0.0374530467       83.2186993550        0.0034455474        0.1181647468
        0.0375646414       89.5036932050        0.0035189823        0.2595490298
        0.0381514583       85.5306918400        0.0035642305        0.2633920040
        0.0387382691       80.8374171000        0.0036095992        0.2667780947
        0.0389508251       71.7940457150        0.0035633251        0.1076301037
        0.0404485630       62.1257794350        0.0036817274        0.0995693727
        0.0419462591       56.9597220900        0.0038006953        0.1104906468
        0.0434439116       50.0689055450        0.0039201770        0.1011642213
        0.0449415190       42.5982842400        0.0040401263        0.0855597816
        0.0464390798       37.3422377650        0.0041605022        0.0744556453
        0.0479365924       33.3223456350        0.0042812685        0.0696409504
        0.0494340553       29.6929449250        0.0044023924        0.0657097943
        0.0509314671       25.9617494350        0.0045238447        0.0594895828
        0.0524288260       22.7316580450        0.0046455993        0.0545034784
        0.0539261305       19.9246536200        0.0047676324        0.0504325574
        0.0554233791       17.6207286300        0.0048899227        0.0469534819
        0.0569205701       15.6901355900        0.0050124510        0.0437871237
        0.0584177023       13.8159881300        0.0051351996        0.0411379958
        0.0599147739       12.2961546650        0.0052581527        0.0384109553
        0.0614117834       11.0447249850        0.0053812957        0.0356809951
        0.0629087292        9.9071023600        0.0055046155        0.0334459017
        0.0644056099        8.8335224555        0.0056280999        0.0311657689
        0.0659024238        7.9957124395        0.0057517377        0.0291870162
        0.0673991694        7.2318470985        0.0058755189        0.0274204330
        0.0688958452        6.5276883455        0.0059994341        0.0253769185
        0.0703924496        5.9105876590        0.0061234745        0.0240270650
        0.0718889810        5.3721728695        0.0062476323        0.0239529284
        0.0733854380        4.9316795675        0.0063719002        0.0238489473
        0.0748818190        4.5247418520        0.0064962712        0.0227435128
        0.0763781223        4.1573851930        0.0066207391        0.0217586984
        0.0778743467        3.8574250110        0.0067452980        0.0209201708
        0.0793704904        3.6282097615        0.0068699424        0.0200486909
        0.0802958099        3.8266496200        0.0088614637        0.0086431442
        0.0808665519        3.3607568980        0.0069946673        0.0191170821
        0.0823625296        3.1470704530        0.0071194680        0.0181828572
        0.0838584222        2.9449947465        0.0072443400        0.0172887416
        0.0853542278        2.7292541925        0.0073692792        0.0169918774
        0.0868499451        2.5228455170        0.0074942818        0.0179099057
        0.0869796274        2.6413440200        0.0093045361        0.0063463523
        0.0883455726        2.3194872440        0.0076193441        0.0184320055
        0.0898411085        2.1878405190        0.0077444627        0.0191844930
        0.0913365516        2.0444464835        0.0078696344        0.0197925459
        0.0928319001        1.9138388685        0.0079948562        0.0201435520
        0.0936616476        1.9324622500        0.0097603300        0.0049334345
        0.0943271527        1.7997305305        0.0081201254        0.0207126574
        0.0958223076        1.5970412665        0.0082454392        0.0200123194
        0.0973173633        1.5753620765        0.0083707951        0.0206457449
        0.0988123185        1.4633894050        0.0084961908        0.0208856296
        0.1003071715        1.4176282090        0.0086216239        0.0217061748
        0.1018019206        1.3286777425        0.0087470926        0.0221018155
        0.1032965646        1.2188946310        0.0088725945        0.0225350040
        0.1047911018        1.2112774455        0.0089981280        0.0240677266
        0.1062855306        1.1395207440        0.0091236911        0.0251840527
        0.1070197475        1.1525361300        0.0107034024        0.0034236600
        0.1077798497        1.0366605960        0.0092492822        0.0262560623
        0.1092740573        0.9985795135        0.0093748997        0.0286446947
        0.1107681520        0.9220874173        0.0095005419        0.0300608704
        0.1136955533        0.9192422990        0.0111879564        0.0030151301
        0.1203690144        0.7416721730        0.0116797062        0.0025713191
        0.1270399947        0.6028482610        0.0121777424        0.0022177851
        0.1337083579        0.4947430290        0.0126812857        0.0019734245
        0.1403739689        0.4170182680        0.0131896668        0.0017733471
        0.1470366919        0.3578810780        0.0137023077        0.0016398548
        0.1536963923        0.3054818120        0.0142187081        0.0015057312
        0.1603529358        0.2736393630        0.0147384330        0.0014385490
        0.1670061869        0.2462157100        0.0152611023        0.0013535878
        0.1736560131        0.2155328340        0.0157863833        0.0012588729
        0.1803022805        0.1961127730        0.0163139830        0.0012308508
        0.1869448556        0.1870244150        0.0168436425        0.0013601481
        0.1935836078        0.1744481560        0.0173751325        0.0013184148
        0.2002184017        0.1622758980        0.0179082490        0.0011701156
        0.2068491086        0.1616924290        0.0184428094        0.0011226027
        0.2134755947        0.1609832000        0.0189786505        0.0010926797
        0.2200977311        0.1570945340        0.0195156253        0.0010736271
        0.2267153872        0.1520514130        0.0200536011        0.0010256024
        0.2333284343        0.1501125710        0.0205924579        0.0010066215
        0.2399367417        0.1438266950        0.0211320868        0.0009714858
        0.2465401805        0.1359673190        0.0216723883        0.0009486800
        0.2531386235        0.1296955590        0.0222132720        0.0009412385
        0.2597319417        0.1229716200        0.0227546542        0.0009217169
        0.2663200110        0.1102976660        0.0232964589        0.0008878853
        0.2729027040        0.1053208990        0.0238386152        0.0008546882
        0.2794798934        0.0990259428        0.0243810584        0.0008283067
        0.2860514567        0.0931319350        0.0249237281        0.0008066544
        0.2926172666        0.0881590226        0.0254665680        0.0007816091
        0.2991772020        0.0863664807        0.0260095262        0.0007614753
        0.3057311373        0.0832241896        0.0265525538        0.0007517110
        0.3122789515        0.0784187478        0.0270956053        0.0007374020
        0.3188205221        0.0773057069        0.0276386380        0.0007757842
        0.3253557296        0.0764802512        0.0281816115        0.0007884904
        0.3318844516        0.0761091313        0.0287244880        0.0007870616
        0.3384065702        0.0760228186        0.0292672320        0.0007681948
        0.3449219646        0.0763045998        0.0298098096        0.0007657147
        0.3514305184        0.0761763711        0.0303521887        0.0007757920
        0.3579321141        0.0733813713        0.0308943389        0.0007537060
        0.3644266336        0.0755027592        0.0314362315        0.0007464727
