# JCNS331_03-30C.dat
#
# low-Q:
# sample:	QI-53356-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 8 points at the end
#
# middle-Q:
# sample:	QI-53321-KWS-HF.RAD
# scf = 0.98
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 14 points at the beginning and 8 points at the end
#
# high-Q:
# sample:	QI-53304-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 7 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0778743467        3.9954772186        0.0067452980        0.0216598795
        0.0793704904        3.5565653242        0.0068699424        0.0201148651
        0.0808665519        3.2076387742        0.0069946673        0.0189172237
        0.0823625296        2.9974907886        0.0071194680        0.0181353423
        0.0838584222        2.7299138916        0.0072443400        0.0170025687
        0.0853542278        2.4305471372        0.0073692792        0.0163338842
        0.0868499451        2.2309113568        0.0074942818        0.0171125429
        0.0869796274        2.3505484700        0.0093045361        0.0058157375
        0.0883455726        1.9902563730        0.0076193441        0.0174798549
        0.0898411085        1.8466013090        0.0077444627        0.0179211304
        0.0913365516        1.7013032064        0.0078696344        0.0182374280
        0.0928319001        1.5400976948        0.0079948562        0.0183024127
        0.0936616476        1.5671129600        0.0097603300        0.0043034626
        0.0943271527        1.4132982780        0.0081201254        0.0185321237
        0.0958223076        1.3932226056        0.0082454392        0.0190874447
        0.0973173633        1.3336424962        0.0083707951        0.0196737054
        0.0988123185        1.2405854300        0.0084961908        0.0197511793
        0.1003071715        1.2051889668        0.0086216239        0.0204391218
        0.1003417332        1.1700533900        0.0102271098        0.0035498959
        0.1018019206        1.1289745236        0.0087470926        0.0209925928
        0.1032965646        1.0615187814        0.0088725945        0.0212163097
        0.1047911018        1.0483837336        0.0089981280        0.0229535274
        0.1062855306        1.0341488612        0.0091236911        0.0252313478
        0.1077798497        1.0234761320        0.0092492822        0.0272580317
        0.1092740573        0.9351014401        0.0093748997        0.0278403767
        0.1136955533        0.8538518660        0.0111879564        0.0028869751
        0.1203690144        0.7748643910        0.0116797062        0.0026042910
        0.1270399947        0.6963124350        0.0121777424        0.0023415132
        0.1337083579        0.6075200700        0.0126812857        0.0021355880
        0.1403739689        0.5096354470        0.0131896668        0.0019068669
        0.1470366919        0.4184084430        0.0137023077        0.0017200366
        0.1536963923        0.3391298600        0.0142187081        0.0015465203
        0.1603529358        0.2727609620        0.0147384330        0.0014257055
        0.1670061869        0.2267845660        0.0152611023        0.0013045879
        0.1736560131        0.1936925130        0.0157863833        0.0011988306
        0.1803022805        0.1722691260        0.0163139830        0.0011629760
        0.1869448556        0.1729137200        0.0168436425        0.0013616262
        0.1935836078        0.1654501450        0.0173751325        0.0012930870
        0.2002184017        0.1623798030        0.0179082490        0.0011602188
        0.2068491086        0.1640464140        0.0184428094        0.0011155344
        0.2134755947        0.1621573160        0.0189786505        0.0010797240
        0.2200977311        0.1607976980        0.0195156253        0.0010670556
        0.2267153872        0.1598709650        0.0200536011        0.0010293624
        0.2333284343        0.1509305070        0.0205924579        0.0009965359
        0.2399367417        0.1420249570        0.0211320868        0.0009592084
        0.2465401805        0.1301615650        0.0216723883        0.0009247030
        0.2531386235        0.1221983340        0.0222132720        0.0009186168
        0.2597319417        0.1105380710        0.0227546542        0.0008888393
        0.2663200110        0.1024638100        0.0232964589        0.0008650293
        0.2729027040        0.0936920244        0.0238386152        0.0008240177
        0.2794798934        0.0863790686        0.0243810584        0.0007967762
        0.2860514567        0.0823281439        0.0249237281        0.0007809590
        0.2926172666        0.0783395088        0.0254665680        0.0007547790
        0.2991772020        0.0775260441        0.0260095262        0.0007378608
        0.3057311373        0.0732785995        0.0265525538        0.0007269585
        0.3122789515        0.0707134561        0.0270956053        0.0007167174
        0.3188205221        0.0692568654        0.0276386380        0.0007552147
        0.3253557296        0.0697662165        0.0281816115        0.0007670333
        0.3318844516        0.0668595051        0.0287244880        0.0007587927
        0.3384065702        0.0689734658        0.0292672320        0.0007509775
        0.3449219646        0.0699711167        0.0298098096        0.0007487601
        0.3514305184        0.0674844783        0.0303521887        0.0007527328
        0.3579321141        0.0663446082        0.0308943389        0.0007338896
        0.3644266336        0.0680315295        0.0314362315        0.0007258538
        0.3709139610        0.0674833628        0.0319778387        0.0007066449
        0.3773939832        0.0669895332        0.0325191345        0.0007273108
        0.3838665839        0.0677826968        0.0330600935        0.0007736865
        0.3903316503        0.0656751364        0.0336006920        0.0008395100
        0.3967890693        0.0652632834        0.0341409068        0.0008859093
        0.4032387294        0.0672298077        0.0346807156        0.0009399564
        0.4096805210        0.0658338199        0.0352200975        0.0009947751
        0.4161143309        0.0614724829        0.0357590319        0.0010219255
        0.4225400526        0.0613393695        0.0362974991        0.0010670389
        0.4289575762        0.0625285211        0.0368354800        0.0011175037
        0.4353667935        0.0632287808        0.0373729565        0.0011702926
        0.4417675994        0.0654861603        0.0379099104        0.0012194979
        0.4481598858        0.0674033903        0.0384463249        0.0012871703
        0.4545435508        0.0648169048        0.0389821834        0.0013573259
        0.4609184877        0.0650968786        0.0395174695        0.0014402916
        0.4672845947        0.0623199700        0.0400521678        0.0015661911
        0.4736417684        0.0642418719        0.0405862628        0.0016787767
        0.4799899084        0.0634248313        0.0411197400        0.0018480126
        0.4863289145        0.0624510090        0.0416525848        0.0020108633
        0.4926586864        0.0630034149        0.0421847835        0.0021377628
        0.4989791255        0.0644188093        0.0427163224        0.0022772786
        0.5052901363        0.0594315033        0.0432471880        0.0023345151
        0.5115916184        0.0572147799        0.0437773676        0.0026361937
        0.5178834796        0.0483121406        0.0443068486        0.0033828299
        0.5241656228        0.0784065480        0.0448356184        0.0079450500
        0.5304379558        0.0418424698        0.0453636653        0.0194597857
        0.5367003861        0.0128223008        0.0458909773        0.0457582513
