# JCNS337-30C.dat
#
# low-Q:
# sample:	QI-53353-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 6 points at the end
#
# middle-Q:
# sample:	QI-53318-KWS-HF.RAD
# scf = 0.98
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 12 points at the beginning and 6 points at the end
#
# high-Q:
# sample:	QI-53301-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 8 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0041090741    13981.6980550000        0.0015251769       20.8092364300
        0.0046960828    12081.6369700000        0.0015373512        9.6371112200
        0.0052830908    10237.0140850000        0.0015510331        6.9368499635
        0.0058700979     8666.6706115000        0.0015661833        5.6023704665
        0.0064571041     7305.0863700000        0.0015827594        4.8204790940
        0.0070441093     6134.7682315000        0.0016007172        4.2124189305
        0.0076311133     5194.7445995000        0.0016200108        3.7076105335
        0.0082181161     4394.7884925000        0.0016405930        3.2546987365
        0.0088051177     3755.9850655000        0.0016624159        2.8789791515
        0.0093921178     3338.3629945000        0.0016854313        2.6192837600
        0.0099791164     2998.4966755000        0.0017095911        2.4481227540
        0.0105661134     2616.6509015000        0.0017348474        2.1684264425
        0.0111531088     2359.6416825000        0.0017611530        1.9902782340
        0.0117401023     2162.6075025000        0.0017884616        1.8467411665
        0.0123270940     1996.3323370000        0.0018167280        1.7305083245
        0.0129140838     1853.3049920000        0.0018459081        1.6274568370
        0.0135010714     1741.8005185000        0.0018759593        1.5386871650
        0.0140880570     1642.5349235000        0.0019068405        1.4609566070
        0.0146750402     1561.9440770000        0.0019385118        1.3952832115
        0.0152620212     1485.5224670000        0.0019709352        1.3361991490
        0.0158489997     1419.4759875000        0.0020040742        1.3122342590
        0.0164359757     1447.4314190000        0.0020378938        1.5234577720
        0.0170229490     1413.4152155000        0.0020723607        1.4683206935
        0.0176099197     1324.1698310000        0.0021074432        1.2864785430
        0.0181968876     1291.3901095000        0.0021431109        1.1898211445
        0.0187838525     1302.5280235000        0.0021793351        1.1888136980
        0.0193708145     1311.3730840000        0.0022160886        1.1945948375
        0.0199577733     1303.0798310000        0.0022533453        1.1425032215
        0.0205447291     1308.5215925000        0.0022910807        1.1270122840
        0.0211316815     1322.3435320000        0.0023292715        1.1162027280
        0.0217186305     1340.4900330000        0.0023678957        1.1076030810
        0.0223055761     1369.1821705000        0.0024069323        1.1140616560
        0.0228925182     1401.6537975000        0.0024463617        1.1259344235
        0.0234794566     1426.0857455000        0.0024861650        1.1254392550
        0.0240663913     1451.2665690000        0.0025263247        1.1052524105
        0.0246533221     1471.0085380000        0.0025668239        1.1028988425
        0.0252402489     1471.9128050000        0.0026076467        1.0951374660
        0.0258271719     1461.1654170000        0.0026487783        1.0573266775
        0.0264140906     1434.5972135000        0.0026902044        1.0313809520
        0.0269675974     1421.5567086000        0.0026455997        0.6350227716
        0.0270010052     1393.4747535000        0.0027319116        1.0016918370
        0.0275879154     1324.5696765000        0.0027738872        0.9728913615
        0.0281748213     1267.8317720000        0.0028161192        0.9785262485
        0.0284656152     1282.5115352000        0.0027564850        0.5834731183
        0.0287617226     1202.9137975000        0.0028585961        1.0052761015
        0.0293486195     1114.4699755000        0.0029013072        0.9599976480
        0.0299355117     1032.1183515000        0.0029442423        0.9051323598
        0.0299636033     1076.4623800000        0.0028687252        0.5180368984
        0.0305223990      947.0687465000        0.0029873917        0.8664296581
        0.0311092814      864.8842911500        0.0030307462        0.8191166399
        0.0314615604      845.0521135000        0.0029821667        0.4438607533
        0.0316961589      789.6551439500        0.0030742970        0.7730821052
        0.0322830315      720.3895533500        0.0031180361        0.7256102365
        0.0328698988      652.5839740500        0.0031619554        0.6783475827
        0.0329594849      639.0697110000        0.0030966772        0.3784507336
        0.0334567610      582.8790322000        0.0032060476        0.6466859162
        0.0340436178      518.4385334000        0.0032503056        0.6683921755
        0.0344573751      480.1707146600        0.0032121419        0.3226478402
        0.0346304692      462.5154581500        0.0032947228        0.6856800323
        0.0352173150      417.0836252500        0.0033392926        0.6828341742
        0.0358041552      377.9318557000        0.0033840091        0.6853551522
        0.0359552295      368.2329469000        0.0033284609        0.2734718175
        0.0363909897      347.4254395500        0.0034288665        0.6965425033
        0.0369778185      321.3776460500        0.0034738593        0.7032006695
        0.0374530467      293.4808254000        0.0034455474        0.2397239074
        0.0375646414      295.2971393000        0.0035189823        0.6930955109
        0.0381514583      276.7171789500        0.0035642305        0.6948356829
        0.0387382691      256.8384983000        0.0036095992        0.6994063885
        0.0389508251      239.9187695800        0.0035633251        0.2125670588
        0.0393250737      239.5762354500        0.0036550839        0.7020991578
        0.0399118720      224.4268106000        0.0037006802        0.7118930460
        0.0404485630      200.0355243600        0.0036817274        0.1932463254
        0.0404986641      208.9025214500        0.0037463841        0.7418974184
        0.0410854497      197.4313940000        0.0037921916        0.7630262573
        0.0416722287      190.6273515000        0.0038380990        0.8167461315
        0.0419462591      184.9792904400        0.0038006953        0.2193383521
        0.0422590011      177.7740016000        0.0038841027        0.8517886238
        0.0428457667      168.4266837000        0.0039301994        0.8965020952
        0.0434325256      163.2344406500        0.0039763857        0.9706110290
        0.0434439116      160.2381869200        0.0039201770        0.1958221310
        0.0440192776      154.6290195500        0.0040226585        0.9722927760
        0.0449415190      135.0292010200        0.0040401263        0.1651567070
        0.0464390798      119.9828033600        0.0041605022        0.1443700024
        0.0479365924      111.6059917000        0.0042812685        0.1382328298
        0.0494340553      104.0948120800        0.0044023924        0.1334525604
        0.0509314671       95.4763572140        0.0045238447        0.1238452646
        0.0524288260       87.1277428000        0.0046455993        0.1153538547
        0.0539261305       79.6117999880        0.0047676324        0.1089135123
        0.0554233791       72.5770307080        0.0048899227        0.1030127823
        0.0569205701       66.1707040680        0.0050124510        0.0969703233
        0.0584177023       60.0393185840        0.0051351996        0.0925189782
        0.0599147739       53.1510067760        0.0052581527        0.0856053760
        0.0614117834       48.0782104320        0.0053812957        0.0798810284
        0.0629087292       42.9588302780        0.0055046155        0.0747741690
        0.0644056099       37.9231328140        0.0056280999        0.0692823150
        0.0659024238       33.9394500620        0.0057517377        0.0645861131
        0.0673991694       29.9953084480        0.0058755189        0.0597433330
        0.0688958452       26.6565267500        0.0059994341        0.0548848722
        0.0703924496       23.8607130720        0.0061234745        0.0517307565
        0.0718889810       22.2297765900        0.0062476323        0.0524329422
        0.0733854380       20.4711286640        0.0063719002        0.0521013073
        0.0748818190       18.6456757060        0.0064962712        0.0491504389
        0.0763781223       17.2593889720        0.0066207391        0.0470983059
        0.0778743467       16.0268155320        0.0067452980        0.0453527811
        0.0793704904       14.9478188720        0.0068699424        0.0428689736
        0.0808665519       13.9518593760        0.0069946673        0.0409462444
        0.0823625296       13.0123086800        0.0071194680        0.0389782126
        0.0838584222       12.3173370740        0.0072443400        0.0371236238
        0.0853542278       11.4211913620        0.0073692792        0.0363959530
        0.0868499451       10.6248626680        0.0074942818        0.0383163779
        0.0883455726        9.9952220760        0.0076193441        0.0403027690
        0.0898411085        9.2502230086        0.0077444627        0.0409560615
        0.0913365516        8.8189302026        0.0078696344        0.0422641753
        0.0928319001        8.2550875750        0.0079948562        0.0430811484
        0.0936616476        8.2412873700        0.0097603300        0.0166874023
        0.0943271527        7.8479783466        0.0081201254        0.0441313231
        0.0958223076        7.3763791010        0.0082454392        0.0442448330
        0.0973173633        6.9821775506        0.0083707951        0.0449150120
        0.0988123185        6.7744162668        0.0084961908        0.0459362684
        0.1003071715        6.3189809354        0.0086216239        0.0465826783
        0.1018019206        6.1424716262        0.0087470926        0.0482584507
        0.1032965646        5.8106847274        0.0088725945        0.0495595812
        0.1047911018        5.5973304954        0.0089981280        0.0522546407
        0.1062855306        5.4245874438        0.0091236911        0.0557277967
        0.1070197475        5.1385725700        0.0107034024        0.0112433465
        0.1077798497        5.1951000304        0.0092492822        0.0587345582
        0.1092740573        5.0962609838        0.0093748997        0.0632703150
        0.1107681520        4.7166019474        0.0095005419        0.0668415598
        0.1122621321        4.4156912128        0.0096262074        0.0677443578
        0.1136955533        4.1937290400        0.0111879564        0.0098557959
        0.1203690144        3.4147093400        0.0116797062        0.0081974530
        0.1270399947        2.7447670300        0.0121777424        0.0068127018
        0.1337083579        2.2124400000        0.0126812857        0.0058417958
        0.1403739689        1.8274270000        0.0131896668        0.0050624978
        0.1470366919        1.5288215500        0.0137023077        0.0045275882
        0.1536963923        1.2925522400        0.0142187081        0.0040436387
        0.1603529358        1.0999063200        0.0147384330        0.0037034521
        0.1670061869        0.9580631320        0.0152611023        0.0033877654
        0.1736560131        0.8385085890        0.0157863833        0.0030792579
        0.1803022805        0.7451037290        0.0163139830        0.0028949174
        0.1869448556        0.7223719640        0.0168436425        0.0032815774
        0.1935836078        0.6558861120        0.0173751325        0.0030947643
        0.2002184017        0.6019019970        0.0179082490        0.0026877955
        0.2068491086        0.5759012590        0.0184428094        0.0025336144
        0.2134755947        0.5551180640        0.0189786505        0.0024308184
        0.2200977311        0.5219925170        0.0195156253        0.0023563048
        0.2267153872        0.4917613540        0.0200536011        0.0022126824
        0.2333284343        0.4582994310        0.0205924579        0.0021045649
        0.2399367417        0.4164176380        0.0211320868        0.0019839971
        0.2465401805        0.3825347700        0.0216723883        0.0018928399
        0.2531386235        0.3462505290        0.0222132720        0.0018287536
        0.2597319417        0.3109942230        0.0227546542        0.0017328875
        0.2663200110        0.2785062120        0.0232964589        0.0016467222
        0.2729027040        0.2568000760        0.0238386152        0.0015619508
        0.2794798934        0.2316201250        0.0243810584        0.0014792659
        0.2860514567        0.2156860460        0.0249237281        0.0014240184
        0.2926172666        0.2074444670        0.0254665680        0.0013814615
        0.2991772020        0.1919434580        0.0260095262        0.0013147694
        0.3057311373        0.1844736800        0.0265525538        0.0012934125
        0.3122789515        0.1762185310        0.0270956053        0.0012628443
        0.3188205221        0.1709613710        0.0276386380        0.0013341290
        0.3253557296        0.1671360050        0.0281816115        0.0013334468
        0.3318844516        0.1656724330        0.0287244880        0.0013204040
        0.3384065702        0.1633871180        0.0292672320        0.0012965917
        0.3449219646        0.1667559540        0.0298098096        0.0013063509
        0.3514305184        0.1646040870        0.0303521887        0.0013108640
        0.3579321141        0.1614902350        0.0308943389        0.0012720318
        0.3644266336        0.1576080540        0.0314362315        0.0012432150
        0.3709139610        0.1547406750        0.0319778387        0.0012099705
        0.3773939832        0.1555100260        0.0325191345        0.0012477342
        0.3838665839        0.1569185800        0.0330600935        0.0013189034
        0.3903316503        0.1606059780        0.0336006920        0.0014588858
        0.3967890693        0.1502773300        0.0341409068        0.0014998153
        0.4032387294        0.1547453850        0.0346807156        0.0016210693
        0.4096805210        0.1550426220        0.0352200975        0.0017099923
        0.4161143309        0.1554254530        0.0357590319        0.0017823745
        0.4225400526        0.1535356750        0.0362974991        0.0018489779
        0.4289575762        0.1561437650        0.0368354800        0.0019280124
        0.4353667935        0.1549393180        0.0373729565        0.0020277478
        0.4417675994        0.1508764670        0.0379099104        0.0020824961
        0.4481598858        0.1525626090        0.0384463249        0.0021944731
        0.4545435508        0.1505464090        0.0389821834        0.0023076557
        0.4609184877        0.1525515060        0.0395174695        0.0024571296
        0.4672845947        0.1551316410        0.0400521678        0.0027161178
        0.4736417684        0.1551078280        0.0405862628        0.0029190970
        0.4799899084        0.1505875220        0.0411197400        0.0031367593
        0.4863289145        0.1488428430        0.0416525848        0.0034441654
        0.4926586864        0.1455746160        0.0421847835        0.0036033619
        0.4989791255        0.1548050240        0.0427163224        0.0038948786
        0.5052901363        0.1468231990        0.0432471880        0.0039938502
        0.5115916184        0.1355217310        0.0437773676        0.0044402404
        0.5178834796        0.1343178430        0.0443068486        0.0057922489
        0.5241656228        0.1479046020        0.0448356184        0.0129793646
        0.5304379558        0.1013201440        0.0453636653        0.0319459975
        0.5367003861        0.0721266128        0.0458909773        0.0751730025
