# JCNS319-30C.dat
#
# low-Q:
# sample:	QI-53347-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 0 points at the beginning and 8 points at the end
#
# middle-Q:
# sample:	QI-53312-KWS-HF.RAD
# scf = 0.95
# y' = scf * y(sample)
# dy' = scf * dy(sample)
# Drop 2 points at the beginning and 7 points at the end
#
# high-Q:
# sample:	QI-53295-KWS-HF.RAD
# y' = y(sample)
# dy' = dy(sample)
# Drop 8 points at the beginning and 0 points at the end
#
#           s [1/nm]            I [1/cm]           ds [1/nm]           dI [1/cm]
        0.0584177023       48.6638987700        0.0051351996        0.0808872357
        0.0599147739       42.8369013450        0.0052581527        0.0747820270
        0.0614117834       37.9487701100        0.0053812957        0.0689500296
        0.0629087292       33.8327876650        0.0055046155        0.0644722424
        0.0644056099       29.9582916100        0.0056280999        0.0600187802
        0.0659024238       26.6843230450        0.0057517377        0.0556644122
        0.0673991694       23.9746643600        0.0058755189        0.0519101473
        0.0688958452       21.4031883050        0.0059994341        0.0478012809
        0.0703924496       19.1804124100        0.0061234745        0.0450932234
        0.0718889810       17.5882519300        0.0062476323        0.0451935192
        0.0733854380       16.3921445500        0.0063719002        0.0455549619
        0.0748818190       15.0778101450        0.0064962712        0.0430027973
        0.0763781223       13.8025281500        0.0066207391        0.0409801736
        0.0778743467       12.7215984850        0.0067452980        0.0392958295
        0.0793704904       11.7370059450        0.0068699424        0.0370434076
        0.0808665519       10.9286994900        0.0069946673        0.0353445965
        0.0823625296       10.2789223850        0.0071194680        0.0336570538
        0.0838584222        9.5873827100        0.0072443400        0.0319500704
        0.0853542278        8.9055039935        0.0073692792        0.0313121728
        0.0868499451        8.2835518375        0.0074942818        0.0330455360
        0.0883455726        7.7823461160        0.0076193441        0.0346548125
        0.0898411085        7.0989819415        0.0077444627        0.0350856526
        0.0913365516        6.6032121390        0.0078696344        0.0356198335
        0.0928319001        6.2234114015        0.0079948562        0.0365827909
        0.0936616476        6.4905621400        0.0097603300        0.0139673426
        0.0943271527        5.8891591360        0.0081201254        0.0375093650
        0.0958223076        5.5053479070        0.0082454392        0.0373108785
        0.0973173633        5.2195601765        0.0083707951        0.0378683966
        0.0988123185        4.9490444750        0.0084961908        0.0382653599
        0.1003071715        4.6509736435        0.0086216239        0.0388013167
        0.1018019206        4.4421275055        0.0087470926        0.0399106475
        0.1032965646        4.1134913930        0.0088725945        0.0406963203
        0.1047911018        3.9701920535        0.0089981280        0.0432036537
        0.1062855306        3.7060507190        0.0091236911        0.0453057063
        0.1070197475        3.7991258000        0.0107034024        0.0091489470
        0.1077798497        3.5778982080        0.0092492822        0.0479045544
        0.1092740573        3.4549579100        0.0093748997        0.0509199764
        0.1107681520        3.2936221840        0.0095005419        0.0548826141
        0.1136955533        3.0342151700        0.0111879564        0.0080046941
        0.1203690144        2.4116907200        0.0116797062        0.0066021370
        0.1270399947        1.9365860600        0.0121777424        0.0055306240
        0.1337083579        1.5617586100        0.0126812857        0.0047576989
        0.1403739689        1.3081807800        0.0131896668        0.0041972031
        0.1470366919        1.0935353900        0.0137023077        0.0037625640
        0.1536963923        0.9337937770        0.0142187081        0.0033812329
        0.1603529358        0.8164762720        0.0147384330        0.0031582401
        0.1670061869        0.7087151060        0.0152611023        0.0028913047
        0.1736560131        0.6142049350        0.0157863833        0.0026246120
        0.1803022805        0.5552657570        0.0163139830        0.0025095973
        0.1869448556        0.5266848010        0.0168436425        0.0028656071
        0.1935836078        0.4868218540        0.0173751325        0.0027106523
        0.2002184017        0.4477534920        0.0179082490        0.0023447125
        0.2068491086        0.4327346230        0.0184428094        0.0022216112
        0.2134755947        0.4245349650        0.0189786505        0.0021427514
        0.2200977311        0.4211774470        0.0195156253        0.0021188083
        0.2267153872        0.4159924160        0.0200536011        0.0020323965
        0.2333284343        0.3971399330        0.0205924579        0.0019482299
        0.2399367417        0.3827036500        0.0211320868        0.0018816397
        0.2465401805        0.3610768460        0.0216723883        0.0018136386
        0.2531386235        0.3310200720        0.0222132720        0.0017739577
        0.2597319417        0.3057076570        0.0227546542        0.0017056010
        0.2663200110        0.2759187240        0.0232964589        0.0016129276
        0.2729027040        0.2557374990        0.0238386152        0.0015299258
        0.2794798934        0.2304516620        0.0243810584        0.0014568027
        0.2860514567        0.2101155750        0.0249237281        0.0013973977
        0.2926172666        0.1914846050        0.0254665680        0.0013197034
        0.2991772020        0.1846738510        0.0260095262        0.0012818581
        0.3057311373        0.1734483590        0.0265525538        0.0012520982
        0.3122789515        0.1597871010        0.0270956053        0.0012115124
        0.3188205221        0.1570031540        0.0276386380        0.0012732400
        0.3253557296        0.1553004370        0.0281816115        0.0012919505
        0.3318844516        0.1517228440        0.0287244880        0.0012763660
        0.3384065702        0.1518952080        0.0292672320        0.0012513581
        0.3449219646        0.1488970220        0.0298098096        0.0012393988
        0.3514305184        0.1468201990        0.0303521887        0.0012472881
        0.3579321141        0.1438256090        0.0308943389        0.0012133551
        0.3644266336        0.1406958870        0.0314362315        0.0011865452
        0.3709139610        0.1422253860        0.0319778387        0.0011664937
        0.3773939832        0.1424787950        0.0325191345        0.0012005606
        0.3838665839        0.1431199960        0.0330600935        0.0012745832
        0.3903316503        0.1393630320        0.0336006920        0.0013794473
        0.3967890693        0.1410023770        0.0341409068        0.0014591380
        0.4032387294        0.1420181750        0.0346807156        0.0015365439
        0.4096805210        0.1390424400        0.0352200975        0.0016207035
        0.4161143309        0.1408266230        0.0357590319        0.0017034015
        0.4225400526        0.1388253360        0.0362974991        0.0017794163
        0.4289575762        0.1326753300        0.0368354800        0.0018094324
        0.4353667935        0.1385159110        0.0373729565        0.0019307381
        0.4417675994        0.1378758130        0.0379099104        0.0019826719
        0.4481598858        0.1422792980        0.0384463249        0.0021189374
        0.4545435508        0.1355352660        0.0389821834        0.0022285234
        0.4609184877        0.1380892940        0.0395174695        0.0023541272
        0.4672845947        0.1480372870        0.0400521678        0.0026721793
